x,species,island,individual_id,bill_length_mm,bill_depth_mm,body_mass_g,sex,bill_morphology
1,Adelie,Torgersen,N1A1,39.1,18.7,3750,male,2.0909090909090913
2,Adelie,Torgersen,N1A2,39.5,17.4,3800,female,2.270114942528736
3,Adelie,Torgersen,N2A1,40.3,18,3250,female,2.238888888888889
5,Adelie,Torgersen,N3A1,36.7,19.3,3450,female,1.9015544041450778
6,Adelie,Torgersen,N3A2,39.3,20.6,3650,male,1.907766990291262
7,Adelie,Torgersen,N4A1,38.9,17.8,3625,female,2.185393258426966
8,Adelie,Torgersen,N4A2,39.2,19.6,4675,male,2
13,Adelie,Torgersen,N7A1,41.1,17.6,3200,female,2.3352272727272725
14,Adelie,Torgersen,N7A2,38.6,21.2,3800,male,1.8207547169811322
15,Adelie,Torgersen,N8A1,34.6,21.1,4400,male,1.6398104265402844
16,Adelie,Torgersen,N8A2,36.6,17.8,3700,female,2.056179775280899
17,Adelie,Torgersen,N9A1,38.7,19,3450,female,2.0368421052631582
18,Adelie,Torgersen,N9A2,42.5,20.7,4500,male,2.0531400966183577
19,Adelie,Torgersen,N10A1,34.4,18.4,3325,female,1.8695652173913044
20,Adelie,Torgersen,N10A2,46,21.5,4200,male,2.13953488372093
21,Adelie,Biscoe,N11A1,37.8,18.3,3400,female,2.065573770491803
22,Adelie,Biscoe,N11A2,37.7,18.7,3600,male,2.016042780748663
23,Adelie,Biscoe,N12A1,35.9,19.2,3800,female,1.8697916666666667
24,Adelie,Biscoe,N12A2,38.2,18.1,3950,male,2.110497237569061
25,Adelie,Biscoe,N13A1,38.8,17.2,3800,male,2.255813953488372
26,Adelie,Biscoe,N13A2,35.3,18.9,3800,female,1.8677248677248677
27,Adelie,Biscoe,N17A1,40.6,18.6,3550,male,2.182795698924731
28,Adelie,Biscoe,N17A2,40.5,17.9,3200,female,2.2625698324022347
29,Adelie,Biscoe,N18A1,37.9,18.6,3150,female,2.0376344086021505
30,Adelie,Biscoe,N18A2,40.5,18.9,3950,male,2.1428571428571432
31,Adelie,Dream,N21A1,39.5,16.7,3250,female,2.3652694610778444
32,Adelie,Dream,N21A2,37.2,18.1,3900,male,2.0552486187845305
33,Adelie,Dream,N22A1,39.5,17.8,3300,female,2.2191011235955056
34,Adelie,Dream,N22A2,40.9,18.9,3900,male,2.164021164021164
35,Adelie,Dream,N23A1,36.4,17,3325,female,2.1411764705882352
36,Adelie,Dream,N23A2,39.2,21.1,4150,male,1.8578199052132702
37,Adelie,Dream,N24A1,38.8,20,3950,male,1.94
38,Adelie,Dream,N24A2,42.2,18.5,3550,female,2.2810810810810813
39,Adelie,Dream,N25A1,37.6,19.3,3300,female,1.9481865284974094
40,Adelie,Dream,N25A2,39.8,19.1,4650,male,2.083769633507853
41,Adelie,Dream,N26A1,36.5,18,3150,female,2.0277777777777777
42,Adelie,Dream,N26A2,40.8,18.4,3900,male,2.217391304347826
43,Adelie,Dream,N27A1,36,18.5,3100,female,1.945945945945946
44,Adelie,Dream,N27A2,44.1,19.7,4400,male,2.238578680203046
45,Adelie,Dream,N28A1,37,16.9,3000,female,2.1893491124260356
46,Adelie,Dream,N28A2,39.6,18.8,4600,male,2.106382978723404
47,Adelie,Dream,N29A1,41.1,19,3425,male,2.1631578947368424
49,Adelie,Dream,N30A1,36,17.9,3450,female,2.011173184357542
50,Adelie,Dream,N30A2,42.3,21.2,4150,male,1.9952830188679245
51,Adelie,Biscoe,N21A1,39.6,17.7,3500,female,2.2372881355932206
52,Adelie,Biscoe,N21A2,40.1,18.9,4300,male,2.121693121693122
53,Adelie,Biscoe,N22A1,35,17.9,3450,female,1.9553072625698324
54,Adelie,Biscoe,N22A2,42,19.5,4050,male,2.1538461538461537
55,Adelie,Biscoe,N23A1,34.5,18.1,2900,female,1.9060773480662982
56,Adelie,Biscoe,N23A2,41.4,18.6,3700,male,2.225806451612903
57,Adelie,Biscoe,N24A1,39,17.5,3550,female,2.2285714285714286
58,Adelie,Biscoe,N24A2,40.6,18.8,3800,male,2.1595744680851063
59,Adelie,Biscoe,N25A1,36.5,16.6,2850,female,2.1987951807228914
60,Adelie,Biscoe,N25A2,37.6,19.1,3750,male,1.9685863874345548
61,Adelie,Biscoe,N27A1,35.7,16.9,3150,female,2.112426035502959
62,Adelie,Biscoe,N27A2,41.3,21.1,4400,male,1.9573459715639807
63,Adelie,Biscoe,N28A1,37.6,17,3600,female,2.211764705882353
64,Adelie,Biscoe,N28A2,41.1,18.2,4050,male,2.258241758241758
65,Adelie,Biscoe,N29A1,36.4,17.1,2850,female,2.1286549707602336
66,Adelie,Biscoe,N29A2,41.6,18,3950,male,2.3111111111111113
67,Adelie,Biscoe,N30A1,35.5,16.2,3350,female,2.191358024691358
68,Adelie,Biscoe,N30A2,41.1,19.1,4100,male,2.1518324607329844
69,Adelie,Torgersen,N32A1,35.9,16.6,3050,female,2.1626506024096384
70,Adelie,Torgersen,N32A2,41.8,19.4,4450,male,2.154639175257732
71,Adelie,Torgersen,N34A1,33.5,19,3600,female,1.763157894736842
72,Adelie,Torgersen,N34A2,39.7,18.4,3900,male,2.1576086956521743
73,Adelie,Torgersen,N35A1,39.6,17.2,3550,female,2.302325581395349
74,Adelie,Torgersen,N35A2,45.8,18.9,4150,male,2.4232804232804233
75,Adelie,Torgersen,N36A1,35.5,17.5,3700,female,2.0285714285714285
76,Adelie,Torgersen,N36A2,42.8,18.5,4250,male,2.3135135135135134
77,Adelie,Torgersen,N37A1,40.9,16.8,3700,female,2.4345238095238093
78,Adelie,Torgersen,N37A2,37.2,19.4,3900,male,1.9175257731958766
79,Adelie,Torgersen,N38A1,36.2,16.1,3550,female,2.248447204968944
80,Adelie,Torgersen,N38A2,42.1,19.1,4000,male,2.2041884816753927
81,Adelie,Torgersen,N39A1,34.6,17.2,3200,female,2.011627906976744
82,Adelie,Torgersen,N39A2,42.9,17.6,4700,male,2.4374999999999996
83,Adelie,Torgersen,N40A1,36.7,18.8,3800,female,1.952127659574468
84,Adelie,Torgersen,N40A2,35.1,19.4,4200,male,1.8092783505154642
85,Adelie,Dream,N41A1,37.3,17.8,3350,female,2.095505617977528
86,Adelie,Dream,N41A2,41.3,20.3,3550,male,2.0344827586206895
87,Adelie,Dream,N42A1,36.3,19.5,3800,male,1.8615384615384614
88,Adelie,Dream,N42A2,36.9,18.6,3500,female,1.9838709677419353
89,Adelie,Dream,N44A1,38.3,19.2,3950,male,1.9947916666666665
90,Adelie,Dream,N44A2,38.9,18.8,3600,female,2.0691489361702127
91,Adelie,Dream,N45A1,35.7,18,3550,female,1.9833333333333334
92,Adelie,Dream,N45A2,41.1,18.1,4300,male,2.270718232044199
93,Adelie,Dream,N46A1,34,17.1,3400,female,1.9883040935672514
94,Adelie,Dream,N46A2,39.6,18.1,4450,male,2.187845303867403
95,Adelie,Dream,N48A1,36.2,17.3,3300,female,2.092485549132948
96,Adelie,Dream,N48A2,40.8,18.9,4300,male,2.1587301587301586
97,Adelie,Dream,N49A1,38.1,18.6,3700,female,2.0483870967741935
98,Adelie,Dream,N49A2,40.3,18.5,4350,male,2.1783783783783783
99,Adelie,Dream,N50A1,33.1,16.1,2900,female,2.0559006211180124
100,Adelie,Dream,N50A2,43.2,18.5,4100,male,2.3351351351351353
101,Adelie,Biscoe,N47A1,35,17.9,3725,female,1.9553072625698324
102,Adelie,Biscoe,N47A2,41,20,4725,male,2.05
103,Adelie,Biscoe,N49A1,37.7,16,3075,female,2.35625
104,Adelie,Biscoe,N49A2,37.8,20,4250,male,1.89
105,Adelie,Biscoe,N51A1,37.9,18.6,2925,female,2.0376344086021505
106,Adelie,Biscoe,N51A2,39.7,18.9,3550,male,2.100529100529101
107,Adelie,Biscoe,N53A1,38.6,17.2,3750,female,2.244186046511628
108,Adelie,Biscoe,N53A2,38.2,20,3900,male,1.9100000000000001
109,Adelie,Biscoe,N55A1,38.1,17,3175,female,2.2411764705882353
110,Adelie,Biscoe,N55A2,43.2,19,4775,male,2.2736842105263158
111,Adelie,Biscoe,N58A1,38.1,16.5,3825,female,2.309090909090909
112,Adelie,Biscoe,N58A2,45.6,20.3,4600,male,2.2463054187192117
113,Adelie,Biscoe,N60A1,39.7,17.7,3200,female,2.2429378531073447
114,Adelie,Biscoe,N60A2,42.2,19.5,4275,male,2.1641025641025644
115,Adelie,Biscoe,N61A1,39.6,20.7,3900,female,1.9130434782608696
116,Adelie,Biscoe,N61A2,42.7,18.3,4075,male,2.3333333333333335
117,Adelie,Torgersen,N63A1,38.6,17,2900,female,2.2705882352941176
118,Adelie,Torgersen,N63A2,37.3,20.5,3775,male,1.819512195121951
119,Adelie,Torgersen,N64A1,35.7,17,3350,female,2.1
120,Adelie,Torgersen,N64A2,41.1,18.6,3325,male,2.2096774193548385
121,Adelie,Torgersen,N66A1,36.2,17.2,3150,female,2.104651162790698
122,Adelie,Torgersen,N66A2,37.7,19.8,3500,male,1.9040404040404042
123,Adelie,Torgersen,N67A1,40.2,17,3450,female,2.364705882352941
124,Adelie,Torgersen,N67A2,41.4,18.5,3875,male,2.2378378378378376
125,Adelie,Torgersen,N69A1,35.2,15.9,3050,female,2.2138364779874213
126,Adelie,Torgersen,N69A2,40.6,19,4000,male,2.136842105263158
127,Adelie,Torgersen,N71A1,38.8,17.6,3275,female,2.204545454545454
128,Adelie,Torgersen,N71A2,41.5,18.3,4300,male,2.26775956284153
129,Adelie,Torgersen,N72A1,39,17.1,3050,female,2.280701754385965
130,Adelie,Torgersen,N72A2,44.1,18,4000,male,2.45
131,Adelie,Torgersen,N73A1,38.5,17.9,3325,female,2.1508379888268156
132,Adelie,Torgersen,N73A2,43.1,19.2,3500,male,2.244791666666667
133,Adelie,Dream,N76A1,36.8,18.5,3500,female,1.989189189189189
134,Adelie,Dream,N76A2,37.5,18.5,4475,male,2.027027027027027
135,Adelie,Dream,N77A1,38.1,17.6,3425,female,2.164772727272727
136,Adelie,Dream,N77A2,41.1,17.5,3900,male,2.3485714285714288
137,Adelie,Dream,N78A1,35.6,17.5,3175,female,2.0342857142857143
138,Adelie,Dream,N78A2,40.2,20.1,3975,male,2
139,Adelie,Dream,N79A1,37,16.5,3400,female,2.242424242424242
140,Adelie,Dream,N79A2,39.7,17.9,4250,male,2.217877094972067
141,Adelie,Dream,N80A1,40.2,17.1,3400,female,2.350877192982456
142,Adelie,Dream,N80A2,40.6,17.2,3475,male,2.36046511627907
143,Adelie,Dream,N81A1,32.1,15.5,3050,female,2.070967741935484
144,Adelie,Dream,N81A2,40.7,17,3725,male,2.394117647058824
145,Adelie,Dream,N82A1,37.3,16.8,3000,female,2.220238095238095
146,Adelie,Dream,N82A2,39,18.7,3650,male,2.085561497326203
147,Adelie,Dream,N83A1,39.2,18.6,4250,male,2.10752688172043
148,Adelie,Dream,N83A2,36.6,18.4,3475,female,1.9891304347826089
149,Adelie,Dream,N84A1,36,17.8,3450,female,2.0224719101123596
150,Adelie,Dream,N84A2,37.8,18.1,3750,male,2.0883977900552484
151,Adelie,Dream,N85A1,36,17.1,3700,female,2.1052631578947367
152,Adelie,Dream,N85A2,41.5,18.5,4000,male,2.2432432432432434
153,Gentoo,Biscoe,N31A1,46.1,13.2,4500,female,3.4924242424242427
154,Gentoo,Biscoe,N31A2,50,16.3,5700,male,3.067484662576687
155,Gentoo,Biscoe,N32A1,48.7,14.1,4450,female,3.4539007092198584
156,Gentoo,Biscoe,N32A2,50,15.2,5700,male,3.2894736842105265
157,Gentoo,Biscoe,N33A1,47.6,14.5,5400,male,3.282758620689655
158,Gentoo,Biscoe,N33A2,46.5,13.5,4550,female,3.4444444444444446
159,Gentoo,Biscoe,N34A1,45.4,14.6,4800,female,3.1095890410958904
160,Gentoo,Biscoe,N34A2,46.7,15.3,5200,male,3.0522875816993467
161,Gentoo,Biscoe,N35A1,43.3,13.4,4400,female,3.231343283582089
162,Gentoo,Biscoe,N35A2,46.8,15.4,5150,male,3.038961038961039
163,Gentoo,Biscoe,N36A1,40.9,13.7,4650,female,2.985401459854015
164,Gentoo,Biscoe,N36A2,49,16.1,5550,male,3.043478260869565
165,Gentoo,Biscoe,N37A1,45.5,13.7,4650,female,3.321167883211679
166,Gentoo,Biscoe,N37A2,48.4,14.6,5850,male,3.315068493150685
167,Gentoo,Biscoe,N38A1,45.8,14.6,4200,female,3.136986301369863
168,Gentoo,Biscoe,N38A2,49.3,15.7,5850,male,3.140127388535032
169,Gentoo,Biscoe,N39A1,42,13.5,4150,female,3.111111111111111
170,Gentoo,Biscoe,N39A2,49.2,15.2,6300,male,3.2368421052631584
171,Gentoo,Biscoe,N40A1,46.2,14.5,4800,female,3.1862068965517243
172,Gentoo,Biscoe,N40A2,48.7,15.1,5350,male,3.2251655629139075
173,Gentoo,Biscoe,N41A1,50.2,14.3,5700,male,3.5104895104895104
174,Gentoo,Biscoe,N41A2,45.1,14.5,5000,female,3.110344827586207
175,Gentoo,Biscoe,N42A1,46.5,14.5,4400,female,3.206896551724138
176,Gentoo,Biscoe,N42A2,46.3,15.8,5050,male,2.9303797468354427
177,Gentoo,Biscoe,N44A1,42.9,13.1,5000,female,3.2748091603053435
178,Gentoo,Biscoe,N44A2,46.1,15.1,5100,male,3.0529801324503314
180,Gentoo,Biscoe,N46A2,47.8,15,5650,male,3.1866666666666665
181,Gentoo,Biscoe,N47A1,48.2,14.3,4600,female,3.370629370629371
182,Gentoo,Biscoe,N47A2,50,15.3,5550,male,3.2679738562091503
183,Gentoo,Biscoe,N50A1,47.3,15.3,5250,male,3.091503267973856
184,Gentoo,Biscoe,N50A2,42.8,14.2,4700,female,3.0140845070422535
185,Gentoo,Biscoe,N56A1,45.1,14.5,5050,female,3.110344827586207
186,Gentoo,Biscoe,N56A2,59.6,17,6050,male,3.5058823529411764
187,Gentoo,Biscoe,N2A1,49.1,14.8,5150,female,3.3175675675675675
188,Gentoo,Biscoe,N2A2,48.4,16.3,5400,male,2.969325153374233
189,Gentoo,Biscoe,N4A1,42.6,13.7,4950,female,3.109489051094891
190,Gentoo,Biscoe,N4A2,44.4,17.3,5250,male,2.566473988439306
191,Gentoo,Biscoe,N5A1,44,13.6,4350,female,3.235294117647059
192,Gentoo,Biscoe,N5A2,48.7,15.7,5350,male,3.101910828025478
193,Gentoo,Biscoe,N6A1,42.7,13.7,3950,female,3.1167883211678835
194,Gentoo,Biscoe,N6A2,49.6,16,5700,male,3.1
195,Gentoo,Biscoe,N7A1,45.3,13.7,4300,female,3.3065693430656933
196,Gentoo,Biscoe,N7A2,49.6,15,4750,male,3.3066666666666666
197,Gentoo,Biscoe,N8A1,50.5,15.9,5550,male,3.1761006289308176
198,Gentoo,Biscoe,N8A2,43.6,13.9,4900,female,3.1366906474820144
199,Gentoo,Biscoe,N11A1,45.5,13.9,4200,female,3.273381294964029
200,Gentoo,Biscoe,N11A2,50.5,15.9,5400,male,3.1761006289308176
201,Gentoo,Biscoe,N12A1,44.9,13.3,5100,female,3.37593984962406
202,Gentoo,Biscoe,N12A2,45.2,15.8,5300,male,2.8607594936708862
203,Gentoo,Biscoe,N13A1,46.6,14.2,4850,female,3.2816901408450705
204,Gentoo,Biscoe,N13A2,48.5,14.1,5300,male,3.4397163120567376
205,Gentoo,Biscoe,N14A1,45.1,14.4,4400,female,3.1319444444444446
206,Gentoo,Biscoe,N14A2,50.1,15,5000,male,3.3400000000000003
207,Gentoo,Biscoe,N15A1,46.5,14.4,4900,female,3.2291666666666665
208,Gentoo,Biscoe,N15A2,45,15.4,5050,male,2.922077922077922
209,Gentoo,Biscoe,N16A1,43.8,13.9,4300,female,3.151079136690647
210,Gentoo,Biscoe,N16A2,45.5,15,5000,male,3.033333333333333
211,Gentoo,Biscoe,N17A1,43.2,14.5,4450,female,2.9793103448275864
212,Gentoo,Biscoe,N17A2,50.4,15.3,5550,male,3.2941176470588234
213,Gentoo,Biscoe,N18A1,45.3,13.8,4200,female,3.2826086956521734
214,Gentoo,Biscoe,N18A2,46.2,14.9,5300,male,3.1006711409395975
215,Gentoo,Biscoe,N19A1,45.7,13.9,4400,female,3.287769784172662
216,Gentoo,Biscoe,N19A2,54.3,15.7,5650,male,3.4585987261146496
217,Gentoo,Biscoe,N20A1,45.8,14.2,4700,female,3.2253521126760565
218,Gentoo,Biscoe,N20A2,49.8,16.8,5700,male,2.964285714285714
220,Gentoo,Biscoe,N51A2,49.5,16.2,5800,male,3.055555555555556
221,Gentoo,Biscoe,N53A1,43.5,14.2,4700,female,3.063380281690141
222,Gentoo,Biscoe,N53A2,50.7,15,5550,male,3.3800000000000003
223,Gentoo,Biscoe,N54A1,47.7,15,4750,female,3.18
224,Gentoo,Biscoe,N54A2,46.4,15.6,5000,male,2.9743589743589745
225,Gentoo,Biscoe,N55A1,48.2,15.6,5100,male,3.08974358974359
226,Gentoo,Biscoe,N55A2,46.5,14.8,5200,female,3.1418918918918917
227,Gentoo,Biscoe,N56A1,46.4,15,4700,female,3.0933333333333333
228,Gentoo,Biscoe,N56A2,48.6,16,5800,male,3.0375
229,Gentoo,Biscoe,N58A1,47.5,14.2,4600,female,3.3450704225352115
230,Gentoo,Biscoe,N58A2,51.1,16.3,6000,male,3.1349693251533743
231,Gentoo,Biscoe,N60A1,45.2,13.8,4750,female,3.2753623188405796
232,Gentoo,Biscoe,N60A2,45.2,16.4,5950,male,2.75609756097561
233,Gentoo,Biscoe,N1A1,49.1,14.5,4625,female,3.386206896551724
234,Gentoo,Biscoe,N1A2,52.5,15.6,5450,male,3.3653846153846154
235,Gentoo,Biscoe,N6A1,47.4,14.6,4725,female,3.2465753424657535
236,Gentoo,Biscoe,N6A2,50,15.9,5350,male,3.144654088050314
237,Gentoo,Biscoe,N8A1,44.9,13.8,4750,female,3.253623188405797
238,Gentoo,Biscoe,N8A2,50.8,17.3,5600,male,2.936416184971098
239,Gentoo,Biscoe,N13A1,43.4,14.4,4600,female,3.013888888888889
240,Gentoo,Biscoe,N13A2,51.3,14.2,5300,male,3.612676056338028
241,Gentoo,Biscoe,N14A1,47.5,14,4875,female,3.392857142857143
242,Gentoo,Biscoe,N14A2,52.1,17,5550,male,3.0647058823529414
243,Gentoo,Biscoe,N15A1,47.5,15,4950,female,3.1666666666666665
244,Gentoo,Biscoe,N15A2,52.2,17.1,5400,male,3.052631578947368
245,Gentoo,Biscoe,N18A1,45.5,14.5,4750,female,3.1379310344827585
246,Gentoo,Biscoe,N18A2,49.5,16.1,5650,male,3.074534161490683
247,Gentoo,Biscoe,N19A1,44.5,14.7,4850,female,3.0272108843537415
248,Gentoo,Biscoe,N19A2,50.8,15.7,5200,male,3.2356687898089174
249,Gentoo,Biscoe,N20A1,49.4,15.8,4925,male,3.1265822784810124
250,Gentoo,Biscoe,N20A2,46.9,14.6,4875,female,3.212328767123288
251,Gentoo,Biscoe,N21A1,48.4,14.4,4625,female,3.3611111111111107
252,Gentoo,Biscoe,N21A2,51.1,16.5,5250,male,3.096969696969697
253,Gentoo,Biscoe,N22A1,48.5,15,4850,female,3.2333333333333334
254,Gentoo,Biscoe,N22A2,55.9,17,5600,male,3.288235294117647
255,Gentoo,Biscoe,N23A1,47.2,15.5,4975,female,3.045161290322581
256,Gentoo,Biscoe,N23A2,49.1,15,5500,male,3.2733333333333334
258,Gentoo,Biscoe,N24A2,46.8,16.1,5500,male,2.9068322981366457
259,Gentoo,Biscoe,N28A1,41.7,14.7,4700,female,2.8367346938775513
260,Gentoo,Biscoe,N28A2,53.4,15.8,5500,male,3.3797468354430378
261,Gentoo,Biscoe,N29A1,43.3,14,4575,female,3.0928571428571425
262,Gentoo,Biscoe,N29A2,48.1,15.1,5500,male,3.185430463576159
263,Gentoo,Biscoe,N32A1,50.5,15.2,5000,female,3.322368421052632
264,Gentoo,Biscoe,N32A2,49.8,15.9,5950,male,3.132075471698113
265,Gentoo,Biscoe,N34A1,43.5,15.2,4650,female,2.861842105263158
266,Gentoo,Biscoe,N34A2,51.5,16.3,5500,male,3.1595092024539877
267,Gentoo,Biscoe,N35A1,46.2,14.1,4375,female,3.276595744680851
268,Gentoo,Biscoe,N35A2,55.1,16,5850,male,3.44375
270,Gentoo,Biscoe,N36A2,48.8,16.2,6000,male,3.0123456790123457
271,Gentoo,Biscoe,N38A1,47.2,13.7,4925,female,3.445255474452555
273,Gentoo,Biscoe,N39A1,46.8,14.3,4850,female,3.2727272727272725
274,Gentoo,Biscoe,N39A2,50.4,15.7,5750,male,3.210191082802548
275,Gentoo,Biscoe,N43A1,45.2,14.8,5200,female,3.054054054054054
276,Gentoo,Biscoe,N43A2,49.9,16.1,5400,male,3.0993788819875774
277,Chinstrap,Dream,N61A1,46.5,17.9,3500,female,2.597765363128492
278,Chinstrap,Dream,N61A2,50,19.5,3900,male,2.5641025641025643
279,Chinstrap,Dream,N62A1,51.3,19.2,3650,male,2.671875
280,Chinstrap,Dream,N62A2,45.4,18.7,3525,female,2.427807486631016
281,Chinstrap,Dream,N64A1,52.7,19.8,3725,male,2.6616161616161618
282,Chinstrap,Dream,N64A2,45.2,17.8,3950,female,2.539325842696629
283,Chinstrap,Dream,N66A1,46.1,18.2,3250,female,2.5329670329670333
284,Chinstrap,Dream,N66A2,51.3,18.2,3750,male,2.8186813186813184
285,Chinstrap,Dream,N67A1,46,18.9,4150,female,2.433862433862434
286,Chinstrap,Dream,N67A2,51.3,19.9,3700,male,2.577889447236181
287,Chinstrap,Dream,N68A1,46.6,17.8,3800,female,2.6179775280898876
288,Chinstrap,Dream,N68A2,51.7,20.3,3775,male,2.5467980295566504
289,Chinstrap,Dream,N69A1,47,17.3,3700,female,2.7167630057803467
290,Chinstrap,Dream,N69A2,52,18.1,4050,male,2.87292817679558
291,Chinstrap,Dream,N70A1,45.9,17.1,3575,female,2.6842105263157894
292,Chinstrap,Dream,N70A2,50.5,19.6,4050,male,2.576530612244898
293,Chinstrap,Dream,N71A1,50.3,20,3300,male,2.5149999999999997
294,Chinstrap,Dream,N71A2,58,17.8,3700,female,3.258426966292135
295,Chinstrap,Dream,N72A1,46.4,18.6,3450,female,2.494623655913978
296,Chinstrap,Dream,N72A2,49.2,18.2,4400,male,2.7032967032967035
297,Chinstrap,Dream,N73A1,42.4,17.3,3600,female,2.450867052023121
298,Chinstrap,Dream,N73A2,48.5,17.5,3400,male,2.7714285714285714
299,Chinstrap,Dream,N85A1,43.2,16.6,2900,female,2.602409638554217
300,Chinstrap,Dream,N85A2,50.6,19.4,3800,male,2.6082474226804124
301,Chinstrap,Dream,N89A1,46.7,17.9,3300,female,2.608938547486034
302,Chinstrap,Dream,N89A2,52,19,4150,male,2.736842105263158
303,Chinstrap,Dream,N61A1,50.5,18.4,3400,female,2.7445652173913047
304,Chinstrap,Dream,N61A2,49.5,19,3800,male,2.6052631578947367
305,Chinstrap,Dream,N62A1,46.4,17.8,3700,female,2.6067415730337076
306,Chinstrap,Dream,N62A2,52.8,20,4550,male,2.6399999999999997
307,Chinstrap,Dream,N63A1,40.9,16.6,3200,female,2.4638554216867465
308,Chinstrap,Dream,N63A2,54.2,20.8,4300,male,2.605769230769231
309,Chinstrap,Dream,N65A1,42.5,16.7,3350,female,2.5449101796407185
310,Chinstrap,Dream,N65A2,51,18.8,4100,male,2.7127659574468086
311,Chinstrap,Dream,N67A1,49.7,18.6,3600,male,2.672043010752688
312,Chinstrap,Dream,N67A2,47.5,16.8,3900,female,2.827380952380952
313,Chinstrap,Dream,N69A1,47.6,18.3,3850,female,2.601092896174863
314,Chinstrap,Dream,N69A2,52,20.7,4800,male,2.5120772946859904
315,Chinstrap,Dream,N72A1,46.9,16.6,2700,female,2.8253012048192767
316,Chinstrap,Dream,N72A2,53.5,19.9,4500,male,2.6884422110552766
317,Chinstrap,Dream,N74A1,49,19.5,3950,male,2.5128205128205128
318,Chinstrap,Dream,N74A2,46.2,17.5,3650,female,2.64
319,Chinstrap,Dream,N75A1,50.9,19.1,3550,male,2.664921465968586
320,Chinstrap,Dream,N75A2,45.5,17,3500,female,2.676470588235294
321,Chinstrap,Dream,N86A1,50.9,17.9,3675,female,2.8435754189944134
322,Chinstrap,Dream,N86A2,50.8,18.5,4450,male,2.745945945945946
323,Chinstrap,Dream,N87A1,50.1,17.9,3400,female,2.7988826815642462
324,Chinstrap,Dream,N87A2,49,19.6,4300,male,2.5
325,Chinstrap,Dream,N88A1,51.5,18.7,3250,male,2.7540106951871657
326,Chinstrap,Dream,N88A2,49.8,17.3,3675,female,2.8786127167630053
327,Chinstrap,Dream,N90A1,48.1,16.4,3325,female,2.932926829268293
328,Chinstrap,Dream,N90A2,51.4,19,3950,male,2.705263157894737
329,Chinstrap,Dream,N92A1,45.7,17.3,3600,female,2.6416184971098264
330,Chinstrap,Dream,N92A2,50.7,19.7,4050,male,2.5736040609137056
331,Chinstrap,Dream,N93A1,42.5,17.3,3350,female,2.4566473988439306
332,Chinstrap,Dream,N93A2,52.2,18.8,3450,male,2.776595744680851
333,Chinstrap,Dream,N94A1,45.2,16.6,3250,female,2.7228915662650603
334,Chinstrap,Dream,N94A2,49.3,19.9,4050,male,2.477386934673367
335,Chinstrap,Dream,N95A1,50.2,18.8,3800,male,2.670212765957447
336,Chinstrap,Dream,N95A2,45.6,19.4,3525,female,2.350515463917526
337,Chinstrap,Dream,N96A1,51.9,19.5,3950,male,2.6615384615384614
338,Chinstrap,Dream,N96A2,46.8,16.5,3650,female,2.836363636363636
339,Chinstrap,Dream,N98A1,45.7,17,3650,female,2.6882352941176473
340,Chinstrap,Dream,N98A2,55.8,19.8,4000,male,2.818181818181818
341,Chinstrap,Dream,N99A1,43.5,18.1,3400,female,2.4033149171270716
342,Chinstrap,Dream,N99A2,49.6,18.2,3775,male,2.7252747252747254
343,Chinstrap,Dream,N100A1,50.8,19,4100,male,2.6736842105263157
344,Chinstrap,Dream,N100A2,50.2,18.7,3775,female,2.6844919786096257
